ATHLETE,LAST Support,STRI Flight,DE Support,HOP Flight,STEP Support,JUMP Flight,TOTAL Support,TIME Support,TIME Flight
DEVETZI,0.09,0.09,0.11,0.58,0.14,0.42,0.14,0.39,1.00
SAVIGNE,0.10,0.12,0.10,0.54,0.12,0.41,0.15,0.37,0.95
SESTAK,0.12,0.11,0.10,0.51,0.13,0.38,0.14,0.37,0.89
SALADUHA,0.12,0.09,0.13,0.58,0.16,0.42,0.16,0.45,1.00
VELDAKOVA,0.10,0.12,0.12,0.50,0.14,0.36,0.15,0.41,0.86
de OLIVEIRA,0.09,0.10,0.10,0.52,0.13,0.37,0.13,0.36,0.89
KULYK,0.12,0.09,0.12,0.59,0.16,0.38,0.18,0.46,0.97
TOPIC,*,*,0.12,0.51,0.14,0.41,0.12,0.38,0.92
DIMITRAKI,0.11,0.11,0.13,0.52,0.15,0.33,0.17,0.45,0.85
PANETA,0.11,0.11,0.12,0.53,0.15,0.32,0.14,0.41,0.85
Mean (n=10),0.11,0.10,0.12,0.54,0.14,0.38,0.15,0.41,0.92
SD,0.01,0.01,0.01,0.03,0.01,0.04,0.02,0.04,0.06
