ATHLETE,HOP_STD,HOP_UAX,STEP_STD,STEP_UAX,JUMP_STD,JUMP_UAX
DEVETZI,0.47,2.42,0.58,1.03,0.50,1.33
SAVIGNE,0.50,1.81,0.51,2.11,0.59,2.27
SESTAK,0.42,1.33,0.45,1.37,0.57,2.10
SALADUHA,0.61,2.06,0.58,1.52,0.51,1.28
VELDAKOVA,0.50,2.11,0.52,1.59,0.53,2.29
de OLIVEIRA,0.45,1.51,0.51,1.33,0.52,1.66
KULYK,0.54,2.20,0.56,1.60,0.60,1.88
TOPIC,0.53,1.86,0.54,1.26,0.58,1.19
DIMITRAKI,0.55,2.70,0.37,1.14,0.58,2.07
PANETA,0.39,1.71,0.46,0.94,0.51,1.52
Mean (n=10),0.50,1.97,0.51,1.39,0.55,1.76
SD,0.07,0.41,0.07,0.34,0.04,0.42
