ATHLETE,HOP_UX,HOP_UY,HOP_AngPr,STEP_UX,STEP_UY,STEP_AngPr,JUMP_UX,JUMP_UY,JUMP_AngPr
DEVETZI,8.30,2.79,18.6,7.64,1.93,14.2,6.80,2.39,19.4
SAVIGNE,8.67,2.51,16.1,7.62,1.65,12.2,6.22,2.32,20.5
SESTAK,8.10,2.46,16.9,7.20,1.61,12.6,6.03,2.49,22.4
SALADUHA,7.75,2.54,18.1,6.66,1.62,13.7,5.82,2.58,23.9
VELDAKOVA,8.31,2.29,15.4,7.32,1.81,13.9,6.21,2.14,19.0
de OLIVEIRA,8.13,2.38,16.3,7.32,1.71,13.1,6.29,2.02,17.8
KULYK,7.98,2.83,19.5,6.96,1.66,13.4,5.61,2.17,21.1
TOPIC,7.80,2.18,17.5,6.92,1.52,12.4,6.25,2.29,20.1
DIMITRAKI,7.58,2.27,16.7,6.62,1.42,12.1,5.51,2.49,24.3
PANETA,7.68,2.61,18.8,6.88,1.24,10.2,6.11,2.04,18.5
Mean (n=10),8.03,2.49,17.4,7.11,1.62,12.8,6.09,2.29,20.7
SD,0.3,0.2,1.3,0.4,0.2,1.2,0.4,0.2,2.2
